"Hotel / Accommodation name","Nombre de Hotel / Alojamiento"
"Address","Dirección"
"Arrival flight details","Detalles del vuelo de llegada"
"Arrival date","Fecha de llegada"
"Est. Arrival time","Hora de llegada"
"Departing flight details","Detalles del vuelo de salida"
"Departing date","Fecha de salida"
"Departure time","Hora de salida"
"Adult %s","Adult %s"
"Full name as in the passport","Nombre completo como aparece en el pasaporte"
"Passport number","Número de pasaporte"
"Date of Birth","Fecha de nacimiento"
"Nationality","Nacionalidad"
"Gender","Género"
"Male","Masculino"
"Female","Femenino"
"Complete Order","Completar orden"
"Please complete your order.","Por favor completa tu orden."
"The following information is required to complete order #%1. The details below are INDISPENSABLE to confirm your tours and issue your vouchers or tickets. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","La siguiente información es necesaria para completar la orden #%1.  Los datos a continuación son INDISPENSABLES para confirmar tu pedido y emitir tus vouchers o boletos. La información personal solicitada, es un requerimiento de las autoridades locales y por ende, los pasajeros se responsabilizan de  la veracidad de esta información así como de cualquier error u omisión en los datos."
"Once you have completed all the requested information you will not be able to edit it. If you need help please","Una vez hayas completado toda la información solicitada, no podrá ser editada. Si necesitas ayuda, por favor"
"contact us","contáctanos"
"Confirmation","Confirmación"
"The information given in this form is true, complete and accurate and corresponds to my itinerary and/or travel documents.","La información ingresada en el formulario es verídica y corresponde con mi itinerario y/o documentos de viaje."
"Cancel","Cancelar"
"Send","Enviar"
"Hi, %customer_name,","Hola, %customer_name,"
"Thanks for booking with %store_name.","Gracias por reservar con Daytours4u."
"You are one step away from having an unforgettable experience. You just need to fill out the form with the personal information required for each companion.","Estás a un paso de vivir una fantástica experiencia de viaje. Sólo debes completar el formulario con la información personal requerida para cada acompañante."
"This information is essential to confirm your reservation and send the corresponding vouchers or passages. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","Esta información es indispensable para confirmar tu reserva y enviar los vouchers o pasajes correspondientes.   La información personal solicitada, es por requerimiento de las autoridades locales y por ende, los pasajeros se responsabilizan de  la veracidad de esta información así como de cualquier error u omisión en los datos."
"Click here to complete your reservation.","Click aquí para completar tu reserva."
"If you already filled out the form after your purchase, in a maximum of 48 hours you will receive the vouchers of your trips.","Si ya llenaste el formulario después de tu compra, en un máximo de 48h hábiles recibirás los vouchers de tus paseos."
"Questions? please contact our support team by replying to this email.","¿Preguntas? Comunícate con nuestro equipo de Atención al Cliente respondiendo a este correo electrónico."
"To fill out your data, please click here","Para completar sus datos, por favor haga clic aquí"
