"All destinations","Todos os destinos"
"Type an experience","Escreva uma experiência"
"Share with friends","Compartilhe com amigos"
"January","Janeiro"
"February","Fevereiro"
"March","Março"
"April","Abril"
"May","Maio"
"June","Junho"
"July","Julho"
"August","Agosto"
"September","Setembro"
"October","Outubro"
"November","Novembro"
"December","Dezembro"
"Jan","Jan"
"Feb","Fev"
"Mar","Mar"
"Apr","Abr"
"May","Maio"
"Jun","Jun"
"Jul","Jul"
"Aug","Ago"
"Sep","Set"
"Oct","Out"
"Nov","Nov"
"Dec","Dez"
"Sunday","Domingo"
"Monday","Segunda-feira"
"Tuesday","Terça-feira"
"Wednesday","Quarta-feira"
"Thursday","Quinta-feira"
"Friday","Sexta-feira"
"Saturday","Sábado"
"Sun","Dom"
"Mon","Seg"
"Tue","Ter"
"Wed","Qua"
"Thu","Qui"
"Fri","Sex"
"Sat","Sáb"
"Su","Do"
"Mo","Se"
"Tu","Te"
"We","Qu"
"Thanks for register as Affiliate, yor account is pending for approving, We will let you know when your account is actived. You will be redirected to your dashboard in 5 seconds.","Thanks for register as Affiliate, yor account is pending for approving, We will let you know when your account is actived. You will be redirected to your dashboard in 5 seconds."
"Th","Qu"
"Fr","Se"
"Sa","Sáb"
"Select Date","Selecione"
"-- Please Select --","Selecione",module,Magento_Catalog
"-- Please select --","Selecione",module,Magento_Catalog
"Name on Card","Nome no cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Expiration Date","Data de validade"
"Card Verification Number","numero de verificação do cartão"
"Document Number","Número do documento"
"Enter your name here","Escreva o seu nome aqui"
"Installments","Parcelas"
"Enter your document number","Digite o número do seu documento"
"You may also like","Você também pode gostar"
"Name & Surname:","nom et prénom"
"E-mail","E-mail"
"Contact Number:","Número de contacto"
"Your Enquiry is Related to:","Tu consulta esta relacionada con:"
"Customer Support","Soporte para cliente:"
"Write your Message:","Escribe tu mensaje:"
"Send","Enviar","nome e sobrenome"
"--- Please Select ---","Selecione"
"We can not book the service now, try to book for tomorrow please.","We can not book the service now, try to book for tomorrow please."
"We can not add the product in this date, we need at least 2 days to book the service.","We can not add the product in this date, we need at least 2 days to book the service."
"Welcome affiliated","Welcome affiliated"
"Thank you for joining our affiliate program!","Thank you for joining our affiliate program!"
"The whole process is super-easy. You place our ad on your website, blog, forum post, etc. or share coupon code. That's it. You will receive a commission for every purchase from your shared ad or coupon.","The whole process is super-easy. You place our ad on your website, blog, forum post, etc. or share coupon code. That's it. You will receive a commission for every purchase from your shared ad or coupon."
"Feel free to contact us if you have any questions.","Feel free to contact us if you have any questions."
"Hello","Hello"
"Your account status has been changed to","Your account status has been changed to"
"status has been changed to","status has been changed to"
"A new transaction","A new transaction"
"has been created.","has been created."
"Transaction status is changed","Transaction status is changed"
"Account status changed","Account status changed"
"New transaction is created","New transaction is created"
"Withdrawal status is changed","Withdrawal status is changed"
"Your withdrawal status has been changed to","Your withdrawal status has been changed to"
"Your account is disabled. Please contact us for details.","Your account is disabled. Please contact us for details."
"You are registered as Affiliate, please click on the button to modify your information.","You are registered as Affiliate, please click on the button to modify your information."
"Your account is pending for approve, please contact us.","Your account is pending for approve, please contact us."
"Click here to contact us","Click here to contact us"
"Thanks for register as Affiliate, your account is pending for approving, We will let you know when your account is actived.","Thanks for register as Affiliate, your account is pending for approving, We will let you know when your account is actived."
"Payment","Pagamento"
"Search Result for","Search Result for"
"Share whith yours friends:","Share whith yours friends:"
"Add to Cart","Book now"
"Activity in","Activity in"
"Activities in","Activities in"
"Activity","Activity"
"Activities","Activities"
"Please select a region, state or province.","Selecione"
"Country:","Country:"
"Phone:","Phone:"
"Address:","Address:"
"City:","City:"
"First Name:","First Name:"
"Last Name:","Last Name:"
"Name:","Name:"
"Your order","Seu pedido"
"has been created","foi criado"
"thank you for booking with","obrigado por reservar com"
"You are one step away from completing your reservation.","Você está a um passo de completar sua reserva."
"To process your service order and send you the vouchers for the tours you have booked, we need you to send us some essential information.","Para processar sua ordem de serviço e enviar os comprovantes dos passeios reservados, precisamos que você nos envie algumas informações essenciais."
"Complete order","Ordem completa"
"Back to homepage","Voltar para casa"
"Share with yours friends","Compartilhe com seus amigos"
"Your order <a class=""order-number"" href=""%1"">#%2</a> is in the process of confirmation.","Seu pedido <a class=""order-number"" href=""%1"">#%2</a> está em processo de confirmação."
"Thank you %1 for your purchase.","Obrigado %1 pela sua compra."
"Your order #%1 is in the process of confirmation.","Seu pedido #%1 está em processo de confirmação."
"We are happy that you have chosen to discover South America with us!","Estamos felizes por você ter escolhido descobrir a América do Sul conosco!"
"If all the information requested for your activity(ies) is complete, you will receive another confirmation e-mail with the voucher within the next 48 hours.","Se todas as informações solicitadas para a(s) sua(s) atividade(s) estiverem completas, você receberá outro e-mail de confirmação com o voucher nas próximas 48 horas após o pagamento dos serviços."
"Enjoy your experience!","Desfrute de sua experiência!"
"Don't miss our travel tips. Read here.","Leia aqui nossas dicas de viagem"
"Your booking(s):","Sua(s) Reservas(s):"
"See details","Ver detalhes"
"Subtotal","Subtotal"
"We need you to complete one more step","Precisamos que você complete mais um passo"
"Click the link below and make sure you will enter all the requested details. These details are necessary to confirm your booking and send you the voucher.","Clique no link abaixo e certifique-se de inserir todos os detalhes solicitados. Esses detalhes são necessários para confirmar sua reserva e enviar o voucher."
"Get in touch","Entre em contato"
"Our local and experienced support team will assist you from 8am. to 7pm. (GMT-3)","Nossa equipe de expertos locais irá ajudá-lo de segunda a sexta das 9h às 20h e aos sábados das 9h às 14h (GMT-3)."
"Phone","Telefone"
"Follow us","Siga-nos"
"You are receiving this email because you expressed interest in Daytours4u.com updates","Você está recebendo este e-mail porque expressou interesse nas atualizações do Daytours4u.com"
"Unsuscribe newsletter","Anular Subscrição"
"Update subscription preferences","Atualizar preferências de inscrição"
"© Daytours4u 2018. All rights reserved","© Daytours4u 2019. Todos os direitos reservados"
"to join our Newsletter","para se juntar ao nosso boletim informativo"
"Invite a friend","Convidar um amigo"
"Thanks %customer_name for your order",""
"Your order","Seu pedido"
"Your order <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> has been created","Seu pedido <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> foi criado"
"Your Purchased","Seu comprado"
"You may also like","você pode gostar"
"I want my code","Eu quero meu codigo"
"Hello %firstName %lastName","Hola %firstName %lastName"
"Items in your shopping bag","Produtos no seu carrinho de compras"
"You're welcome to discover South America with Daytours4u. Find and book any experience in Daytours4u by <a style=""color:#acaeb0 !important;"" href=""%account_url"">Login</a> in our website with your e-mail and password.","Nós convidamos você a descobrir a América do Sul com Daytours4u. Encontre e reserve qualquer experiência na Daytours4u <a style=""color:#acaeb0 !important;"" href=""%account_url"">registando-se</a> no nosso website com o seu endereço de e-mail e senha."
"Complete your order now","Complete já a sua reserva"
"Need assistance with this order?","Precisa de ajuda com esta reserva?"
"Call us or chat with us","Ligue-nos ou converse conosco"
"Thank you for your subscription.","Obrigado por se inscrever!, vamos enviar-lhe um e-mail com o seu código de desconto."
"Optional","Opcional"
"You already have an account with us. Sign in or continue as guest.","Você já tem uma conta conosco. Faça login ou continue como convidado."
"Forgot Your Password?","Esqueceu sua senha?"
"You can create an account after checkout.","Você pode criar uma conta após a finalização da compra."
"Email Address","Email"
"We'll send your order confirmation here.","Enviaremos a confirmação do seu pedido aqui."
"Invalid login or password.","Login ou senha inválidos."
"A letter with further instructions will be sent to your email.","Uma carta com mais instruções será enviada para o seu email."
"Thank you for your order from %store_name.","Obrigado pelo seu pedido de %store_name."
"I have read and agree to the ","Eu li e concordo com o "
"Create account on Daytours4u","Criar conta em Daytours4u"
"Your information was updated successfully.","Suas informações foram atualizadas com sucesso."
"Order edited successfully.","Pedido editado com sucesso."
"The order %1 was completed, you can not edit the information again.","O pedido %1 foi concluído. Você não pode editar as informações novamente."
"Notes","Notas"
"Meeting point","Ponto de encontro"
"Meeting hour","Hora da reunião"
"Provider phone","Telefone do fornecedor"
"Date are not available. Please check again","A data não está disponível. Por favor cheque novamente."
